brand,product_title,review_text,star_rating,date,verified_purchase,sentiment_score,wheels,handle,material,zipper,size,durability
American Tourister,DELSEY PARIS,Quality product. Another one in small size is in use for more than a decade. Light weight with strong wheels. Satisfied customer.,5.0,Reviewed in India on 7 February 2026,False,0.7269,positive,not_mentioned,positive,not_mentioned,positive,not_mentioned
American Tourister,DELSEY PARIS,"Look-wise an excellent product with light weight, having little less capacity. It is good for 03 nights in summer.Also,*screech resistance is an issue.",4.0,Reviewed in India on 12 June 2024,False,0.765,not_mentioned,not_mentioned,not_mentioned,not_mentioned,positive,not_mentioned
American Tourister,DELSEY PARIS,Worst customer service and warranty support . U literally followed up 20 times with Amazon on the warranty support of this product immediately after 1st use but it’s pathetic. No one cares . My product follow-up I’d 403-1391025-4344301 and I have big issue with the quality of the product . The ticket is open with Amazon since 22nd April 2025 and still no warranty support help . Please do not go for the product as the quality is worst and the customer support is way beyond imagination .,1.0,Reviewed in India on 1 July 2025,False,-0.8958,not_mentioned,not_mentioned,negative,not_mentioned,not_mentioned,not_mentioned
American Tourister,DELSEY PARIS,Supreme quality. Smooth wheels. Looks excellent. Size is perfect for cabin bag. Light weight. Super satisfied. Little expensive but worth the price.,5.0,Reviewed in India on 5 December 2024,False,0.8835,positive,not_mentioned,positive,not_mentioned,positive,not_mentioned
American Tourister,DELSEY PARIS,,5.0,Reviewed in India on 8 August 2023,False,0.0,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned
American Tourister,DELSEY PARIS,it's a very genuine product i like because it's  very light weight i like amazon delivery thank you amazon for giving me original branded product on 69 percent off discount thank you so much,5.0,Reviewed in India on 16 November 2023,False,0.9337,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned
American Tourister,DELSEY PARIS,Wheels are great and it has plenty space for a long trip .,4.0,Reviewed in India on 5 November 2023,False,0.6249,positive,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned
American Tourister,DELSEY PARIS,,1.0,Reviewed in India on 16 June 2025,False,0.0,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned
American Tourister,Safari,Great quality at affordable price !!,5.0,Reviewed in India on 11 March 2026,False,0.6892,not_mentioned,not_mentioned,positive,not_mentioned,not_mentioned,not_mentioned
American Tourister,Safari,"The quality is very good with a premium design, enough space for travel needs and feels durable. Overall, a good product and definitely worth buying. Must go for it",4.0,Reviewed in India on 14 December 2025,False,0.8655,not_mentioned,not_mentioned,positive,not_mentioned,not_mentioned,positive
American Tourister,Safari,"The build quality is really super and feels sturdy. Wheels are smooth and easy to move, even when fully loaded. The outer shell looks premium and durable.However, the major drawback is the lack of internal layers or compartments. There is no proper separation or spacing to organize items—it’s basically one large open area like a box. Because of this, keeping clothes and accessories neatly arranged becomes difficult.Overall, it’s good for carrying large quantities, but not ideal if you prefer organized packing.",5.0,Reviewed in India on 29 January 2026,False,0.2576,positive,not_mentioned,positive,not_mentioned,not_mentioned,positive
American Tourister,Safari,"Overall a good product,light weight, must for travellers.",4.0,Reviewed in India on 14 February 2026,False,0.4404,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned
American Tourister,Safari,"Writing review after 1 year of purchasePositives:- good quality- Good color- good space- good for cabin bags- wheels are nice- rolls nicely- light weight- handle quality is good but design and switch is notNegatives:- expensive for its design and quality- not balanced properly(design is flawed)- fell down easily- handle and extended handle is not sturdy- extended handle causes problem(started after 2 months)- handle switch is not of good qualityFor this price, I would expect something better.",3.0,Reviewed in India on 16 November 2025,False,0.8516,positive,positive,positive,not_mentioned,not_mentioned,not_mentioned
American Tourister,Safari,Good quality trolley bag from Safari. Delivery is also fast in 3 days.,5.0,Reviewed in India on 19 March 2026,False,0.4404,not_mentioned,not_mentioned,positive,not_mentioned,not_mentioned,not_mentioned
American Tourister,Safari,"I recently bought the Safari Thorium Neo 8 Wheels 66 cm medium check-in suitcase and it has exceeded my expectations on every trip! The hard polycarbonate shell feels tough and has protected my luggage well even after multiple journeys — it doesn’t show scratches easily and still looks great. �YouTube +1The 8-wheel 360° spinner system is a big highlight — it glides effortlessly through airports, tight aisles, and hotel lobbies without catching or wobbling. Makes traveling so smooth! �Amazon IndiaInside, the bag is very spacious, with enough room for everything I needed on a week-long trip. The fixed combination lock gives good peace of mind, and the textured finish adds a premium look. �India Free StuffOverall, this suitcase feels well-built for the price and is perfect for frequent flyers, family vacations, or business travel. Excellent value for money — definitely recommended! ✈️",5.0,Reviewed in India on 24 February 2026,False,0.9881,positive,not_mentioned,positive,positive,positive,not_mentioned
American Tourister,Safari,Lock is really a issue . Once set it opened and locked but again try to open the lock . Lock was not functional.Need to add more good quality lock,3.0,Reviewed in India on 7 January 2026,False,0.6474,not_mentioned,not_mentioned,positive,positive,not_mentioned,not_mentioned
American Tourister,Safari,الخامة جيدة لكن عمقها صغير ولا تسمح لك بتمديد العمق,3.0,Reviewed in Saudi Arabia on 4 March 2026,False,0.0,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned
American Tourister,Safari,روعة والوان جميله ومساحتها واسعه,5.0,Reviewed in Saudi Arabia on 22 January 2026,False,0.0,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned,not_mentioned
American Tourister,American Tourister,It is good quality. Spacious. Tsa lock. Best for international travels,5.0,Reviewed in India on 28 February 2026,False,0.7964,not_mentioned,not_mentioned,positive,positive,positive,not_mentioned
American Tourister,American Tourister,"Good quality with ease of handling, quality is top notch 👍🏽👌🏽",4.0,Reviewed in India on 8 March 2026,False,0.9068,not_mentioned,not_mentioned,positive,not_mentioned,not_mentioned,not_mentioned
